Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,69.5,-70.25,90.0,top
C2,100n,C_0603_1608Metric,71.5,-70.25,-90.0,top
C3,10u,C_0603_1608Metric,129.5,-88.25,90.0,top
C4,10u,C_0603_1608Metric,109.5,-88.25,90.0,top
C5,10u,C_0603_1608Metric,89.5,-88.25,90.0,top
C6,10u,C_0603_1608Metric,69.5,-88.25,90.0,top
D1,5V,D_SOD-523,59.0,-74.0,180.0,top
F1,2A,Fuse_1206_3216Metric,62.0,-72.5,-90.0,top
FB1,220Ω@100MHz,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,65.0,-73.0,90.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB-C-SMD_12P-P0.50-H-F_TYPE-C-31-M-14,54.875,-65.0,-90.0,top
J2,USB_C_Receptacle_USB2.0_16P,USB-C-SMD_12P-P0.50-H-F_TYPE-C-31-M-14,125.0,-95.125,0.0,top
J3,USB_C_Receptacle_USB2.0_16P,USB-C-SMD_12P-P0.50-H-F_TYPE-C-31-M-14,105.0,-95.125,0.0,top
J4,USB_C_Receptacle_USB2.0_16P,USB-C-SMD_12P-P0.50-H-F_TYPE-C-31-M-14,85.0,-95.125,0.0,top
J5,USB_C_Receptacle_USB2.0_16P,USB-C-SMD_12P-P0.50-H-F_TYPE-C-31-M-14,65.0,-95.125,0.0,top
R1,5.1k,R_0603_1608Metric,62.0,-62.0,0.0,top
R10,56k,R_0603_1608Metric,67.5,-88.25,90.0,top
R2,5.1k,R_0603_1608Metric,62.0,-68.0,0.0,top
R3,56k,R_0603_1608Metric,122.5,-88.25,90.0,top
R4,56k,R_0603_1608Metric,127.5,-88.25,90.0,top
R5,56k,R_0603_1608Metric,102.5,-88.25,90.0,top
R6,56k,R_0603_1608Metric,107.5,-88.25,90.0,top
R7,56k,R_0603_1608Metric,82.5,-88.25,90.0,top
R8,56k,R_0603_1608Metric,87.5,-88.25,90.0,top
R9,56k,R_0603_1608Metric,62.5,-88.25,90.0,top
U1,USBLC6-2SC6,SOT-23-6,65.5,-65.0,0.0,top
U2,CH334P,QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,70.5,-74.0,-90.0,top
U3,USBLC6-2SC6,SOT-23-6,125.0,-84.5,90.0,top
U4,USBLC6-2SC6,SOT-23-6,105.0,-84.5,90.0,top
U5,USBLC6-2SC6,SOT-23-6,85.0,-84.5,90.0,top
U6,USBLC6-2SC6,SOT-23-6,65.0,-84.5,90.0,top
